zone,price,rationale
NO1,95.04,"ENTSO-E A44 Jan 8-14, 2024 - NO1"
NO3,54.89,"ENTSO-E A44 Jan 8-14, 2024 - NO3"
NO4,16.2,"ENTSO-E A44 Jan 8-14, 2024 - NO4 (estimated from NO3)"
FI,82.75,"ENTSO-E A44 Jan 8-14, 2024 - FI"
DK1,97.68,"ENTSO-E A44 Jan 8-14, 2024 - DK1"
DK2,97.81,"ENTSO-E A44 Jan 8-14, 2024 - DK2"
PL,106.33,"ENTSO-E A44 Jan 8-14, 2024 - PL"
LT,102.91,"ENTSO-E A44 Jan 8-14, 2024 - LT"
DE,98.19,"ENTSO-E A44 Jan 8-14, 2024 - DE"
