scenario,fbmc_cost,atc_cost,fbmc_savings_eur,fbmc_savings_pct
Baseline (Full Network),-56699165.19980901,-50341659.60100001,6357505.598808996,12.62871675109159
Isolated (No NO connections),-44592060.817732766,-40282953.67909993,4309107.138632834,10.697098263845868
Loop Flow Contribution,,,2048398.4601761624,32.22015975196161
