metric,fbmc,atc,difference
Swedish Gen Cost,33669145.857466154,32636228.02499998,1032917.8324661739
Net Import Cost,-90368311.05727516,-82977887.62599999,-7390423.431275174
Total Cost,-56699165.19980901,-50341659.60100001,-6357505.598808996
FBMC Savings,,,6357505.598808996
FBMC Savings %,,,-12.62871675109159
SE2-SE3 Utilization FBMC,90.6445238095238,,
SE2-SE3 Utilization ATC,,99.39654761904761,
