timestep,neighbor,flow_mw,direction,cost_eur
t0047,DE,-615.0,export,-69648.75
t0048,NO1,-2145.0,export,-131638.65
t0048,NO3,1000.0,import,24220.0
t0048,NO4,600.0,import,4290.0
t0048,FI,-1152.89,export,-68112.53
t0048,DK1,-740.0,export,-71232.4
t0048,DK2,-1700.0,export,-167790.0
t0048,PL,-600.0,export,-84804.0
t0048,LT,-700.0,export,-75467.0
t0048,DE,-615.0,export,-69648.75
t0049,NO1,-2145.0,export,-131638.65
t0049,NO3,1000.0,import,24220.0
t0049,NO4,600.0,import,4290.0
t0049,FI,-1194.81,export,-70589.63
t0049,DK1,-740.0,export,-71232.4
t0049,DK2,-1700.0,export,-167790.0
t0049,PL,-600.0,export,-84804.0
t0049,LT,-700.0,export,-75467.0
t0049,DE,-615.0,export,-69648.75
t0050,NO1,-2145.0,export,-131638.65
t0050,NO3,1000.0,import,24220.0
t0050,NO4,600.0,import,4290.0
t0050,FI,-1161.81,export,-68639.95
t0050,DK1,-740.0,export,-71232.4
t0050,DK2,-1700.0,export,-167790.0
t0050,PL,-600.0,export,-84804.0
t0050,LT,-700.0,export,-75467.0
t0050,DE,-615.0,export,-69648.75
t0051,NO1,-2145.0,export,-131638.65
t0051,NO3,1000.0,import,24220.0
t0051,NO4,600.0,import,4290.0
t0051,FI,-978.31,export,-57798.59
t0051,DK1,-740.0,export,-71232.4
t0051,DK2,-1700.0,export,-167790.0
t0051,PL,-600.0,export,-84804.0
t0051,LT,-700.0,export,-75467.0
t0051,DE,-615.0,export,-69648.75
t0052,NO1,-2145.0,export,-131638.65
t0052,NO3,1000.0,import,24220.0
t0052,NO4,600.0,import,4290.0
t0052,FI,-961.4,export,-56799.62
t0052,DK1,-740.0,export,-71232.4
t0052,DK2,-1700.0,export,-167790.0
t0052,PL,-600.0,export,-84804.0
t0052,LT,-700.0,export,-75467.0
t0052,DE,-615.0,export,-69648.75
t0053,NO1,-2145.0,export,-131638.65
t0053,NO3,1000.0,import,24220.0
t0053,NO4,600.0,import,4290.0
t0053,FI,-1160.44,export,-68558.79
t0053,DK1,-740.0,export,-71232.4
t0053,DK2,-1700.0,export,-167790.0
t0053,PL,-600.0,export,-84804.0
t0053,LT,-700.0,export,-75467.0
t0053,DE,-615.0,export,-69648.75
t0054,NO1,-1467.54,export,-90063.1
t0054,NO3,1000.0,import,24220.0
t0054,NO4,600.0,import,4290.0
t0054,FI,-1388.84,export,-82052.53
t0054,DK1,-740.0,export,-71232.4
t0054,DK2,-1700.0,export,-167790.0
t0054,PL,-600.0,export,-84804.0
t0054,LT,-700.0,export,-75467.0
t0054,DE,-615.0,export,-69648.75
t0055,NO1,-499.14,export,-30632.5
t0055,NO3,1000.0,import,24220.0
t0055,NO4,600.0,import,4290.0
t0055,FI,-1500.0,export,-88620.0
t0055,DK1,-740.0,export,-71232.4
t0055,DK2,-1700.0,export,-167790.0
t0055,PL,-600.0,export,-84804.0
t0055,LT,-700.0,export,-75467.0
t0055,DE,-615.0,export,-69648.75
t0056,NO1,-274.4,export,-16839.94
t0056,NO3,1000.0,import,24220.0
