Metric,FBMC,ATC
Swedish Generation Cost (EUR),31348922.697785918,31402299.628699988
Net Import Cost (EUR),-102461950.66688025,-98148066.61822107
Total System Cost (EUR),-71113027.96909434,-66745766.989521086
Cost Savings FBMC vs ATC (EUR),4367260.97957325,-
Cost Savings (%),0.0,-
