timestep,zone,price_eur_mwh
t0059,SE1,0.5
t0059,SE2,0.5
t0059,SE3,40.0
t0059,SE4,50.0
t0060,SE1,0.5
t0060,SE2,0.5
t0060,SE3,40.0
t0060,SE4,50.0
t0061,SE1,0.5
t0061,SE2,0.5
t0061,SE3,40.0
t0061,SE4,50.0
t0062,SE1,0.5
t0062,SE2,0.5
t0062,SE3,40.0
t0062,SE4,50.0
t0063,SE1,0.5
t0063,SE2,0.5
t0063,SE3,40.0
t0063,SE4,50.0
t0064,SE1,0.5
t0064,SE2,0.5
t0064,SE3,40.0
t0064,SE4,50.0
t0065,SE1,0.5
t0065,SE2,0.5
t0065,SE3,40.0
t0065,SE4,50.0
t0066,SE1,0.5
t0066,SE2,0.5
t0066,SE3,40.0
t0066,SE4,50.0
t0067,SE1,0.5
t0067,SE2,0.5
t0067,SE3,40.0
t0067,SE4,50.0
t0068,SE1,0.5
t0068,SE2,0.5
t0068,SE3,40.0
t0068,SE4,50.0
t0069,SE1,0.5
t0069,SE2,0.5
t0069,SE3,40.0
t0069,SE4,50.0
t0070,SE1,0.5
t0070,SE2,0.5
t0070,SE3,40.0
t0070,SE4,50.0
t0071,SE1,0.5
t0071,SE2,0.5
t0071,SE3,40.0
t0071,SE4,50.0
t0072,SE1,0.5
t0072,SE2,0.5
t0072,SE3,40.0
t0072,SE4,50.0
t0073,SE1,0.5
t0073,SE2,0.5
t0073,SE3,40.0
t0073,SE4,50.0
t0074,SE1,0.5
t0074,SE2,0.5
t0074,SE3,40.0
t0074,SE4,50.0
t0075,SE1,0.5
t0075,SE2,0.5
t0075,SE3,40.0
t0075,SE4,50.0
t0076,SE1,0.5
t0076,SE2,0.5
t0076,SE3,40.0
t0076,SE4,50.0
t0077,SE1,0.5
t0077,SE2,0.5
t0077,SE3,40.0
t0077,SE4,50.0
t0078,SE1,0.5
t0078,SE2,0.5
t0078,SE3,40.0
t0078,SE4,50.0
t0079,SE1,0.5
t0079,SE2,0.5
t0079,SE3,80.0
t0079,SE4,50.0
t0080,SE1,0.5
t0080,SE2,0.5
t0080,SE3,80.0
t0080,SE4,50.0
t0081,SE1,0.5
t0081,SE2,0.5
t0081,SE3,80.0
t0081,SE4,50.0
t0082,SE1,0.5
t0082,SE2,0.5
t0082,SE3,80.0
t0082,SE4,50.0
t0083,SE1,0.5
t0083,SE2,0.5
t0083,SE3,80.0
t0083,SE4,50.0
t0084,SE1,0.5
t0084,SE2,0.5
t0084,SE3,80.0
t0084,SE4,50.0
t0085,SE1,0.5
t0085,SE2,0.5
t0085,SE3,80.0
t0085,SE4,50.0
t0086,SE1,0.5
t0086,SE2,0.5
t0086,SE3,80.0
t0086,SE4,50.0
t0087,SE1,0.5
t0087,SE2,0.5
t0087,SE3,80.0
t0087,SE4,50.0
t0088,SE1,0.5
t0088,SE2,0.5
t0088,SE3,40.0
t0088,SE4,50.0
t0089,SE1,0.5
t0089,SE2,0.5
t0089,SE3,40.0
t0089,SE4,50.0
t0090,SE1,0.5
t0090,SE2,0.5
t0090,SE3,40.0
t0090,SE4,50.0
t0091,SE1,0.5
t0091,SE2,0.5
t0091,SE3,40.0
t0091,SE4,50.0
t0092,SE1,0.5
t0092,SE2,0.5
t0092,SE3,40.0
t0092,SE4,50.0
t0093,SE1,0.5
t0093,SE2,0.5
t0093,SE3,40.0
t0093,SE4,50.0
t0094,SE1,0.5
t0094,SE2,0.5
t0094,SE3,40.0
t0094,SE4,50.0
t0095,SE1,0.5
t0095,SE2,0.5
t0095,SE3,40.0
t0095,SE4,50.0
t0096,SE1,0.5
t0096,SE2,0.5
t0096,SE3,40.0
t0096,SE4,40.0
t0097,SE1,0.5
t0097,SE2,0.5
t0097,SE3,40.0
t0097,SE4,40.0
t0098,SE1,0.5
t0098,SE2,35.0
t0098,SE3,40.0
t0098,SE4,40.0
t0099,SE1,40.0
t0099,SE2,35.0
t0099,SE3,40.0
t0099,SE4,40.0
t0100,SE1,40.0
t0100,SE2,35.0
t0100,SE3,40.0
t0100,SE4,40.0
t0101,SE1,40.0
t0101,SE2,40.0
t0101,SE3,40.0
t0101,SE4,40.0
t0102,SE1,40.0
t0102,SE2,40.0
t0102,SE3,40.0
t0102,SE4,50.0
t0103,SE1,40.0
t0103,SE2,35.0
t0103,SE3,40.0
t0103,SE4,50.0
t0104,SE1,0.5
t0104,SE2,35.0
t0104,SE3,40.0
t0104,SE4,50.0
t0105,SE1,0.5
t0105,SE2,0.5
t0105,SE3,40.0
t0105,SE4,50.0
t0106,SE1,0.5
t0106,SE2,0.5
t0106,SE3,40.0
t0106,SE4,50.0
t0107,SE1,0.5
t0107,SE2,0.5
t0107,SE3,40.0
t0107,SE4,50.0
t0108,SE1,0.5
t0108,SE2,0.5
t0108,SE3,40.0
t0108,SE4,50.0
t0109,SE1,0.5
t0109,SE2,0.5
t0109,SE3,40.0
t0109,SE4,50.0
t0110,SE1,0.5
t0110,SE2,0.5
t0110,SE3,40.0
t0110,SE4,50.0
t0111,SE1,0.5
t0111,SE2,0.5
t0111,SE3,40.0
t0111,SE4,50.0
t0112,SE1,0.5
t0112,SE2,0.5
t0112,SE3,40.0
t0112,SE4,50.0
t0113,SE1,0.5
t0113,SE2,0.5
t0113,SE3,40.0
t0113,SE4,50.0
t0114,SE1,0.5
t0114,SE2,0.5
t0114,SE3,40.0
t0114,SE4,50.0
t0115,SE1,0.5
t0115,SE2,0.5
t0115,SE3,40.0
t0115,SE4,50.0
t0116,SE1,0.5
t0116,SE2,0.5
t0116,SE3,40.0
t0116,SE4,50.0
t0117,SE1,0.5
t0117,SE2,0.5
t0117,SE3,40.0
t0117,SE4,50.0
t0118,SE1,0.5
t0118,SE2,0.5
t0118,SE3,40.0
t0118,SE4,50.0
t0119,SE1,0.5
t0119,SE2,0.5
t0119,SE3,40.0
t0119,SE4,50.0
t0120,SE1,0.5
t0120,SE2,0.5
t0120,SE3,40.0
t0120,SE4,50.0
t0121,SE1,0.5
t0121,SE2,0.5
t0121,SE3,40.0
t0121,SE4,50.0
t0122,SE1,0.5
t0122,SE2,0.5
t0122,SE3,40.0
t0122,SE4,50.0
t0123,SE1,0.5
t0123,SE2,0.5
t0123,SE3,40.0
t0123,SE4,50.0
t0124,SE1,0.5
t0124,SE2,0.5
t0124,SE3,40.0
t0124,SE4,50.0
t0125,SE1,0.5
t0125,SE2,0.5
t0125,SE3,40.0
t0125,SE4,50.0
t0126,SE1,0.5
t0126,SE2,0.5
t0126,SE3,40.0
t0126,SE4,50.0
t0127,SE1,0.5
t0127,SE2,0.5
t0127,SE3,40.0
t0127,SE4,50.0
t0128,SE1,0.5
t0128,SE2,0.5
t0128,SE3,40.0
t0128,SE4,50.0
t0129,SE1,0.5
t0129,SE2,0.5
t0129,SE3,40.0
t0129,SE4,50.0
t0130,SE1,0.5
t0130,SE2,0.5
t0130,SE3,40.0
t0130,SE4,50.0
t0131,SE1,0.5
