timestep,plant,generation_mw
t0007,SE2_gasturbine,0.0
t0007,SE2_solar,0.0
t0007,SE3_hydro,1136.87
t0007,SE3_nuclear,5804.19
t0007,SE3_wind,2215.38
t0007,SE3_chp_district,1600.8
t0007,SE3_chp_industry,420.0
t0007,SE3_gasturbine,0.0
t0007,SE3_solar,0.19
t0007,SE4_hydro,137.31
t0007,SE4_wind,999.39
t0007,SE4_chp_district,368.0
t0007,SE4_chp_industry,332.0
t0007,SE4_gasturbine,0.0
t0007,SE4_condensing,529.6
t0007,SE4_solar,0.56
t0008,SE1_hydro,995.43
t0008,SE1_wind,2600.38
t0008,SE1_chp_district,119.2
t0008,SE1_chp_industry,93.6
t0008,SE1_gasturbine,0.0
t0008,SE1_solar,0.0
t0008,SE2_hydro,2709.88
t0008,SE2_wind,4175.97
t0008,SE2_chp_district,185.6
t0008,SE2_chp_industry,423.2
t0008,SE2_gasturbine,0.0
t0008,SE2_solar,0.0
t0008,SE3_hydro,1156.07
t0008,SE3_nuclear,5804.19
t0008,SE3_wind,2133.85
t0008,SE3_chp_district,1600.8
t0008,SE3_chp_industry,420.0
t0008,SE3_gasturbine,0.0
t0008,SE3_solar,0.37
t0008,SE4_hydro,138.0
t0008,SE4_wind,931.12
t0008,SE4_chp_district,368.0
t0008,SE4_chp_industry,332.0
t0008,SE4_gasturbine,0.0
t0008,SE4_condensing,529.6
t0008,SE4_solar,0.75
t0009,SE1_hydro,1007.72
t0009,SE1_wind,2406.91
t0009,SE1_chp_district,119.2
t0009,SE1_chp_industry,93.6
t0009,SE1_gasturbine,0.0
t0009,SE1_solar,0.0
t0009,SE2_hydro,2833.42
t0009,SE2_wind,3974.29
t0009,SE2_chp_district,185.6
t0009,SE2_chp_industry,423.2
t0009,SE2_gasturbine,0.0
t0009,SE2_solar,0.0
t0009,SE3_hydro,1186.69
t0009,SE3_nuclear,5806.27
t0009,SE3_wind,2069.48
t0009,SE3_chp_district,1600.8
t0009,SE3_chp_industry,420.0
t0009,SE3_gasturbine,0.0
t0009,SE3_solar,1.68
t0009,SE4_hydro,138.18
t0009,SE4_wind,884.15
t0009,SE4_chp_district,368.0
t0009,SE4_chp_industry,332.0
t0009,SE4_gasturbine,0.0
t0009,SE4_condensing,529.6
t0009,SE4_solar,2.82
t0010,SE1_hydro,1147.79
t0010,SE1_wind,2191.98
t0010,SE1_chp_district,119.2
t0010,SE1_chp_industry,93.6
t0010,SE1_gasturbine,0.0
t0010,SE1_solar,0.03
t0010,SE2_hydro,2981.35
t0010,SE2_wind,3791.25
t0010,SE2_chp_district,185.6
t0010,SE2_chp_industry,423.2
t0010,SE2_gasturbine,0.0
t0010,SE2_solar,0.16
t0010,SE3_hydro,1205.38
t0010,SE3_nuclear,5806.27
t0010,SE3_wind,1986.78
t0010,SE3_chp_district,1600.8
t0010,SE3_chp_industry,420.0
t0010,SE3_gasturbine,0.0
t0010,SE3_solar,5.78
t0010,SE4_hydro,137.38
t0010,SE4_wind,831.61
t0010,SE4_chp_district,368.0
t0010,SE4_chp_industry,332.0
t0010,SE4_gasturbine,0.0
t0010,SE4_condensing,529.6
t0010,SE4_solar,5.26
t0011,SE1_hydro,1194.3
t0011,SE1_wind,2195.6
t0011,SE1_chp_district,119.2
t0011,SE1_chp_industry,93.6
t0011,SE1_gasturbine,0.0
t0011,SE1_solar,0.02
t0011,SE2_hydro,3066.69
t0011,SE2_wind,3588.88
t0011,SE2_chp_district,185.6
t0011,SE2_chp_industry,423.2
t0011,SE2_gasturbine,0.0
t0011,SE2_solar,0.43
t0011,SE3_hydro,1219.91
t0011,SE3_nuclear,5806.96
t0011,SE3_wind,1903.3
t0011,SE3_chp_district,1600.8
t0011,SE3_chp_industry,420.0
t0011,SE3_gasturbine,0.0
t0011,SE3_solar,8.2
t0011,SE4_hydro,139.25
t0011,SE4_wind,804.98
t0011,SE4_chp_district,368.0
t0011,SE4_chp_industry,332.0
t0011,SE4_gasturbine,0.0
t0011,SE4_condensing,529.6
t0011,SE4_solar,7.7
t0012,SE1_hydro,1305.49
t0012,SE1_wind,2011.2
t0012,SE1_chp_district,119.2
t0012,SE1_chp_industry,93.6
t0012,SE1_gasturbine,0.0
t0012,SE1_solar,0.02
t0012,SE2_hydro,3298.34
t0012,SE2_wind,3517.04
t0012,SE2_chp_district,185.6
t0012,SE2_chp_industry,423.2
t0012,SE2_gasturbine,0.0
t0012,SE2_solar,0.16
t0012,SE3_hydro,1262.21
t0012,SE3_nuclear,5806.27
t0012,SE3_wind,1760.13
t0012,SE3_chp_district,1600.8
t0012,SE3_chp_industry,420.0
t0012,SE3_gasturbine,0.0
t0012,SE3_solar,6.89
t0012,SE4_hydro,136.02
t0012,SE4_wind,793.6
t0012,SE4_chp_district,368.0
t0012,SE4_chp_industry,332.0
t0012,SE4_gasturbine,0.0
t0012,SE4_condensing,529.6
t0012,SE4_solar,7.51
t0013,SE1_hydro,1441.82
t0013,SE1_wind,1989.13
t0013,SE1_chp_district,119.2
t0013,SE1_chp_industry,93.6
t0013,SE1_gasturbine,0.0
t0013,SE1_solar,0.02
t0013,SE2_hydro,3378.81
t0013,SE2_wind,3423.11
t0013,SE2_chp_district,185.6
t0013,SE2_chp_industry,423.2
t0013,SE2_gasturbine,0.0
t0013,SE2_solar,0.08
t0013,SE3_hydro,1266.1
t0013,SE3_nuclear,5804.19
t0013,SE3_wind,1654.41
t0013,SE3_chp_district,1600.8
t0013,SE3_chp_industry,420.0
t0013,SE3_gasturbine,0.0
t0013,SE3_solar,4.84
t0013,SE4_hydro,132.73
t0013,SE4_wind,818.54
t0013,SE4_chp_district,368.0
t0013,SE4_chp_industry,332.0
t0013,SE4_gasturbine,0.0
t0013,SE4_condensing,529.6
t0013,SE4_solar,5.07
t0014,SE1_hydro,1540.18
t0014,SE1_wind,2032.67
t0014,SE1_chp_district,119.2
t0014,SE1_chp_industry,93.6
t0014,SE1_gasturbine,0.0
t0014,SE1_solar,0.0
t0014,SE2_hydro,3929.89
t0014,SE2_wind,3061.87
t0014,SE2_chp_district,185.6
t0014,SE2_chp_industry,423.2
t0014,SE2_gasturbine,0.0
t0014,SE2_solar,0.02
t0014,SE3_hydro,1254.16
t0014,SE3_nuclear,5804.19
t0014,SE3_wind,1519.83
t0014,SE3_chp_district,1600.8
t0014,SE3_chp_industry,420.0
t0014,SE3_gasturbine,0.0
t0014,SE3_solar,0.93
t0014,SE4_hydro,136.86
t0014,SE4_wind,845.17
t0014,SE4_chp_district,368.0
t0014,SE4_chp_industry,332.0
t0014,SE4_gasturbine,0.0
t0014,SE4_condensing,529.6
t0014,SE4_solar,1.88
t0015,SE1_hydro,1557.82
t0015,SE1_wind,2016.64
t0015,SE1_chp_district,119.2
t0015,SE1_chp_industry,93.6
t0015,SE1_gasturbine,0.0
t0015,SE1_solar,0.0
t0015,SE2_hydro,4338.73
t0015,SE2_wind,2648.83
t0015,SE2_chp_district,185.6
t0015,SE2_chp_industry,423.2
t0015,SE2_gasturbine,0.0
t0015,SE2_solar,0.0
t0015,SE3_hydro,1285.3
t0015,SE3_nuclear,5802.8
t0015,SE3_wind,1515.15
t0015,SE3_chp_district,1600.8
t0015,SE3_chp_industry,420.0
t0015,SE3_gasturbine,0.0
t0015,SE3_solar,0.19
t0015,SE4_hydro,139.39
t0015,SE4_wind,872.04
t0015,SE4_chp_district,368.0
t0015,SE4_chp_industry,332.0
t0015,SE4_gasturbine,0.0
t0015,SE4_condensing,529.6
t0015,SE4_solar,0.75
t0016,SE1_hydro,1680.25
t0016,SE1_wind,2063.8
t0016,SE1_chp_district,119.2
t0016,SE1_chp_industry,93.6
t0016,SE1_gasturbine,0.0
t0016,SE1_solar,0.0
t0016,SE2_hydro,4519.17
t0016,SE2_wind,2362.19
t0016,SE2_chp_district,185.6
t0016,SE2_chp_industry,423.2
t0016,SE2_gasturbine,0.0
t0016,SE2_solar,0.0
t0016,SE3_hydro,1315.15
t0016,SE3_nuclear,5804.19
t0016,SE3_wind,1543.63
t0016,SE3_chp_district,1600.8
t0016,SE3_chp_industry,420.0
t0016,SE3_gasturbine,0.0
t0016,SE3_solar,0.19
t0016,SE4_hydro,147.27
t0016,SE4_wind,925.55
t0016,SE4_chp_district,368.0
t0016,SE4_chp_industry,332.0
t0016,SE4_gasturbine,0.0
t0016,SE4_condensing,529.6
t0016,SE4_solar,0.75
t0017,SE1_hydro,1558.36
t0017,SE1_wind,2093.73
t0017,SE1_chp_district,119.2
t0017,SE1_chp_industry,93.6
t0017,SE1_gasturbine,0.0
t0017,SE1_solar,0.0
t0017,SE2_hydro,4641.9
t0017,SE2_wind,2328.35
t0017,SE2_chp_district,185.6
t0017,SE2_chp_industry,423.2
t0017,SE2_gasturbine,0.0
t0017,SE2_solar,0.0
t0017,SE3_hydro,1310.99
t0017,SE3_nuclear,5804.88
t0017,SE3_wind,1675.09
t0017,SE3_chp_district,1600.8
t0017,SE3_chp_industry,420.0
t0017,SE3_gasturbine,0.0
t0017,SE3_solar,0.19
t0017,SE4_hydro,147.75
t0017,SE4_wind,973.97
t0017,SE4_chp_district,368.0
t0017,SE4_chp_industry,332.0
t0017,SE4_gasturbine,0.0
t0017,SE4_condensing,529.6
t0017,SE4_solar,0.56
t0018,SE1_hydro,1531.63
t0018,SE1_wind,2105.22
t0018,SE1_chp_district,119.2
t0018,SE1_chp_industry,93.6
t0018,SE1_gasturbine,0.0
t0018,SE1_solar,0.0
t0018,SE2_hydro,4814.21
t0018,SE2_wind,2402.25
t0018,SE2_chp_district,185.6
t0018,SE2_chp_industry,423.2
t0018,SE2_gasturbine,0.0
t0018,SE2_solar,0.0
t0018,SE3_hydro,1232.62
t0018,SE3_nuclear,5804.88
t0018,SE3_wind,1804.6
t0018,SE3_chp_district,1600.8
t0018,SE3_chp_industry,420.0
t0018,SE3_gasturbine,0.0
t0018,SE3_solar,0.19
t0018,SE4_hydro,147.54
t0018,SE4_wind,988.01
t0018,SE4_chp_district,368.0
t0018,SE4_chp_industry,332.0
t0018,SE4_gasturbine,0.0
t0018,SE4_condensing,529.6
t0018,SE4_solar,0.75
t0019,SE1_hydro,1581.35
t0019,SE1_wind,2078.01
t0019,SE1_chp_district,119.2
t0019,SE1_chp_industry,93.6
t0019,SE1_gasturbine,0.0
t0019,SE1_solar,0.0
t0019,SE2_hydro,5022.29
t0019,SE2_wind,2399.49
t0019,SE2_chp_district,185.6
t0019,SE2_chp_industry,423.2
t0019,SE2_gasturbine,0.0
t0019,SE2_solar,0.0
t0019,SE3_hydro,1227.69
t0019,SE3_nuclear,5802.8
t0019,SE3_wind,1884.18
t0019,SE3_chp_district,1600.8
t0019,SE3_chp_industry,420.0
t0019,SE3_gasturbine,0.0
t0019,SE3_solar,0.19
t0019,SE4_hydro,140.08
t0019,SE4_wind,1009.07
t0019,SE4_chp_district,368.0
t0019,SE4_chp_industry,332.0
t0019,SE4_gasturbine,0.0
t0019,SE4_condensing,529.6
t0019,SE4_solar,0.56
t0020,SE1_hydro,1588.3
