zone,price,rationale
NO1,60.0,ENTSO-E A44 Dec 2-8 2024 - Southern Norway
NO3,60.0,ENTSO-E A44 Dec 2-8 2024 - Central Norway
NO4,60.0,ENTSO-E A44 Dec 2-3 2024 (partial) - Northern Norway hydro surplus
FI,60.0,ENTSO-E A44 Dec 2-8 2024 - Finland
DK1,60.0,ENTSO-E A44 Dec 2-8 2024 - West Denmark
DK2,60.0,ENTSO-E A44 Dec 2-8 2024 - East Denmark
PL,60.0,ENTSO-E A44 Dec 2-8 2024 - Poland coal-dominated
LT,60.0,ENTSO-E A44 Dec 2-8 2024 - Lithuania
DE,60.0,ENTSO-E A44 Dec 2-8 2024 - Germany (DE-LU zone)
