metric,fbmc,atc,difference
Swedish Gen Cost,8443389.405000001,8443389.405000001,0.0
Net Import Cost,-57909490.05913672,-57784639.4263,-124850.63283672184
Total Cost,-49466100.65413672,-49341250.021299995,-124850.63283672184
FBMC Savings,,,124850.63283672184
FBMC Savings %,,,-0.2530350017132225
SE2-SE3 Utilization FBMC,52.758988095238095,,
SE2-SE3 Utilization ATC,,87.76922619047619,
