timestep,plant,generation_mw
2024-07-15 04:00:00,SE1_gasturbine,0.0
2024-07-15 04:00:00,SE1_solar,0.9
2024-07-15 04:00:00,SE2_hydro,2899.04
2024-07-15 04:00:00,SE2_wind,794.25
2024-07-15 04:00:00,SE2_chp_district,0.0
2024-07-15 04:00:00,SE2_chp_industry,0.0
2024-07-15 04:00:00,SE2_gasturbine,0.0
2024-07-15 04:00:00,SE2_solar,2.18
2024-07-15 04:00:00,SE3_hydro,1223.56
2024-07-15 04:00:00,SE3_nuclear,4717.0
2024-07-15 04:00:00,SE3_wind,786.35
2024-07-15 04:00:00,SE3_chp_district,0.0
2024-07-15 04:00:00,SE3_chp_industry,0.0
2024-07-15 04:00:00,SE3_gasturbine,0.0
2024-07-15 04:00:00,SE3_solar,76.14
2024-07-15 04:00:00,SE4_hydro,139.22
2024-07-15 04:00:00,SE4_wind,509.46
2024-07-15 04:00:00,SE4_chp_district,0.0
2024-07-15 04:00:00,SE4_chp_industry,0.0
2024-07-15 04:00:00,SE4_gasturbine,0.0
2024-07-15 04:00:00,SE4_condensing,0.0
2024-07-15 04:00:00,SE4_solar,20.56
2024-07-15 05:00:00,SE1_hydro,2174.49
2024-07-15 05:00:00,SE1_wind,327.85
2024-07-15 05:00:00,SE1_chp_district,0.0
2024-07-15 05:00:00,SE1_chp_industry,0.0
2024-07-15 05:00:00,SE1_gasturbine,0.0
2024-07-15 05:00:00,SE1_solar,1.26
2024-07-15 05:00:00,SE2_hydro,3328.42
2024-07-15 05:00:00,SE2_wind,707.3
2024-07-15 05:00:00,SE2_chp_district,0.0
2024-07-15 05:00:00,SE2_chp_industry,0.0
2024-07-15 05:00:00,SE2_gasturbine,0.0
2024-07-15 05:00:00,SE2_solar,5.54
2024-07-15 05:00:00,SE3_hydro,1283.01
2024-07-15 05:00:00,SE3_nuclear,4718.0
2024-07-15 05:00:00,SE3_wind,701.12
2024-07-15 05:00:00,SE3_chp_district,0.0
2024-07-15 05:00:00,SE3_chp_industry,0.0
2024-07-15 05:00:00,SE3_gasturbine,0.0
2024-07-15 05:00:00,SE3_solar,174.22
2024-07-15 05:00:00,SE4_hydro,189.85
2024-07-15 05:00:00,SE4_wind,494.73
2024-07-15 05:00:00,SE4_chp_district,0.0
2024-07-15 05:00:00,SE4_chp_industry,0.0
2024-07-15 05:00:00,SE4_gasturbine,0.0
2024-07-15 05:00:00,SE4_condensing,0.0
2024-07-15 05:00:00,SE4_solar,53.81
2024-07-15 06:00:00,SE1_hydro,2318.6
2024-07-15 06:00:00,SE1_wind,398.46
2024-07-15 06:00:00,SE1_chp_district,0.0
2024-07-15 06:00:00,SE1_chp_industry,0.0
2024-07-15 06:00:00,SE1_gasturbine,0.0
2024-07-15 06:00:00,SE1_solar,1.82
2024-07-15 06:00:00,SE2_hydro,3607.05
2024-07-15 06:00:00,SE2_wind,644.56
2024-07-15 06:00:00,SE2_chp_district,0.0
2024-07-15 06:00:00,SE2_chp_industry,0.0
2024-07-15 06:00:00,SE2_gasturbine,0.0
2024-07-15 06:00:00,SE2_solar,11.94
2024-07-15 06:00:00,SE3_hydro,1297.13
2024-07-15 06:00:00,SE3_nuclear,4716.0
2024-07-15 06:00:00,SE3_wind,653.43
2024-07-15 06:00:00,SE3_chp_district,0.0
2024-07-15 06:00:00,SE3_chp_industry,0.0
2024-07-15 06:00:00,SE3_gasturbine,0.0
2024-07-15 06:00:00,SE3_solar,274.53
2024-07-15 06:00:00,SE4_hydro,192.65
2024-07-15 06:00:00,SE4_wind,473.45
2024-07-15 06:00:00,SE4_chp_district,0.0
2024-07-15 06:00:00,SE4_chp_industry,0.0
2024-07-15 06:00:00,SE4_gasturbine,0.0
2024-07-15 06:00:00,SE4_condensing,0.0
2024-07-15 06:00:00,SE4_solar,105.29
2024-07-15 07:00:00,SE1_hydro,2231.75
2024-07-15 07:00:00,SE1_wind,433.76
2024-07-15 07:00:00,SE1_chp_district,0.0
2024-07-15 07:00:00,SE1_chp_industry,0.0
2024-07-15 07:00:00,SE1_gasturbine,0.0
2024-07-15 07:00:00,SE1_solar,2.38
2024-07-15 07:00:00,SE2_hydro,3561.52
2024-07-15 07:00:00,SE2_wind,629.93
2024-07-15 07:00:00,SE2_chp_district,0.0
2024-07-15 07:00:00,SE2_chp_industry,0.0
2024-07-15 07:00:00,SE2_gasturbine,0.0
2024-07-15 07:00:00,SE2_solar,19.29
2024-07-15 07:00:00,SE3_hydro,1304.82
2024-07-15 07:00:00,SE3_nuclear,4717.0
2024-07-15 07:00:00,SE3_wind,710.42
2024-07-15 07:00:00,SE3_chp_district,0.0
2024-07-15 07:00:00,SE3_chp_industry,0.0
2024-07-15 07:00:00,SE3_gasturbine,0.0
2024-07-15 07:00:00,SE3_solar,370.21
2024-07-15 07:00:00,SE4_hydro,191.59
2024-07-15 07:00:00,SE4_wind,490.43
2024-07-15 07:00:00,SE4_chp_district,0.0
2024-07-15 07:00:00,SE4_chp_industry,0.0
2024-07-15 07:00:00,SE4_gasturbine,0.0
2024-07-15 07:00:00,SE4_condensing,0.0
2024-07-15 07:00:00,SE4_solar,168.49
2024-07-15 08:00:00,SE1_hydro,1963.51
2024-07-15 08:00:00,SE1_wind,520.9
2024-07-15 08:00:00,SE1_chp_district,0.0
2024-07-15 08:00:00,SE1_chp_industry,0.0
2024-07-15 08:00:00,SE1_gasturbine,0.0
2024-07-15 08:00:00,SE1_solar,2.89
2024-07-15 08:00:00,SE2_hydro,3398.46
2024-07-15 08:00:00,SE2_wind,579.75
2024-07-15 08:00:00,SE2_chp_district,0.0
2024-07-15 08:00:00,SE2_chp_industry,0.0
2024-07-15 08:00:00,SE2_gasturbine,0.0
2024-07-15 08:00:00,SE2_solar,27.05
2024-07-15 08:00:00,SE3_hydro,1323.24
2024-07-15 08:00:00,SE3_nuclear,4719.0
2024-07-15 08:00:00,SE3_wind,786.6
2024-07-15 08:00:00,SE3_chp_district,0.0
2024-07-15 08:00:00,SE3_chp_industry,0.0
2024-07-15 08:00:00,SE3_gasturbine,0.0
