timestep,line,flow_mw,capacity_mw,utilization_pct
2024-07-15 00:00:00,L_SE1_SE2,551.89,3300.0,16.72
2024-07-15 00:00:00,L_SE2_SE3,2593.93,7300.0,35.53
2024-07-15 00:00:00,L_SE3_SE4,898.75,5300.0,16.96
2024-07-15 00:00:00,L_NO4_SE1,-600.0,600.0,100.0
2024-07-15 00:00:00,L_NO3_SE2,-1000.0,1000.0,100.0
2024-07-15 00:00:00,L_NO1_SE3,1124.61,2145.0,52.43
2024-07-15 00:00:00,L_FI_SE1,-1196.26,1500.0,79.75
2024-07-15 00:00:00,L_FI_SE3,-303.74,1200.0,25.31
2024-07-15 00:00:00,L_DK1_SE3,740.0,740.0,100.0
2024-07-15 00:00:00,L_DK2_SE4,1700.0,1700.0,100.0
2024-07-15 00:00:00,L_PL_SE4,600.0,600.0,100.0
2024-07-15 00:00:00,L_LT_SE4,700.0,700.0,100.0
2024-07-15 00:00:00,L_DE_SE4,615.0,615.0,100.0
2024-07-15 01:00:00,L_SE1_SE2,511.74,3300.0,15.51
2024-07-15 01:00:00,L_SE2_SE3,2309.95,7300.0,31.64
2024-07-15 01:00:00,L_SE3_SE4,889.57,5300.0,16.78
2024-07-15 01:00:00,L_NO4_SE1,-600.0,600.0,100.0
2024-07-15 01:00:00,L_NO3_SE2,-1000.0,1000.0,100.0
2024-07-15 01:00:00,L_NO1_SE3,954.42,2145.0,44.5
2024-07-15 01:00:00,L_FI_SE1,-1148.75,1500.0,76.58
2024-07-15 01:00:00,L_FI_SE3,-351.25,1200.0,29.27
2024-07-15 01:00:00,L_DK1_SE3,740.0,740.0,100.0
2024-07-15 01:00:00,L_DK2_SE4,1700.0,1700.0,100.0
2024-07-15 01:00:00,L_PL_SE4,600.0,600.0,100.0
2024-07-15 01:00:00,L_LT_SE4,700.0,700.0,100.0
2024-07-15 01:00:00,L_DE_SE4,615.0,615.0,100.0
2024-07-15 02:00:00,L_SE1_SE2,570.74,3300.0,17.3
2024-07-15 02:00:00,L_SE2_SE3,2380.74,7300.0,32.61
2024-07-15 02:00:00,L_SE3_SE4,906.9,5300.0,17.11
2024-07-15 02:00:00,L_NO4_SE1,-600.0,600.0,100.0
2024-07-15 02:00:00,L_NO3_SE2,-1000.0,1000.0,100.0
2024-07-15 02:00:00,L_NO1_SE3,1085.04,2145.0,50.58
2024-07-15 02:00:00,L_FI_SE1,-1163.83,1500.0,77.59
2024-07-15 02:00:00,L_FI_SE3,-336.17,1200.0,28.01
2024-07-15 02:00:00,L_DK1_SE3,740.0,740.0,100.0
2024-07-15 02:00:00,L_DK2_SE4,1700.0,1700.0,100.0
2024-07-15 02:00:00,L_PL_SE4,600.0,600.0,100.0
2024-07-15 02:00:00,L_LT_SE4,700.0,700.0,100.0
2024-07-15 02:00:00,L_DE_SE4,615.0,615.0,100.0
2024-07-15 03:00:00,L_SE1_SE2,690.75,3300.0,20.93
2024-07-15 03:00:00,L_SE2_SE3,2583.13,7300.0,35.39
2024-07-15 03:00:00,L_SE3_SE4,862.59,5300.0,16.28
2024-07-15 03:00:00,L_NO4_SE1,-600.0,600.0,100.0
2024-07-15 03:00:00,L_NO3_SE2,-1000.0,1000.0,100.0
