timestep,SE1_chp,SE1_gasturbine,SE1_hydro,SE1_solar,SE1_wind,SE2_chp,SE2_gasturbine,SE2_hydro,SE2_solar,SE2_wind,SE3_chp,SE3_gasturbine,SE3_hydro,SE3_nuclear,SE3_solar,SE3_wind,SE4_chp,SE4_condensing,SE4_gasturbine,SE4_hydro,SE4_solar,SE4_wind,SE1_chp_district,SE1_chp_industry,SE2_chp_district,SE2_chp_industry,SE3_chp_district,SE3_chp_industry,SE4_chp_district,SE4_chp_industry
2024-07-15 00:00:00,0.017067669172932332,0.0,0.11155069210624767,0.0,0.15706252067482634,0.13930354796320632,0.05,0.24302780511811023,0.0,0.22234110322860867,0.06609263657957244,0.00022123893805309737,0.47547591522157995,0.6798327807409543,0.00014492753623188405,0.2489207895411433,0.09474285714285714,0.0,0.0,0.34400576368876085,0.00019712306872669152,0.23936802973977694,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-15 01:00:00,0.01781954887218045,0.0,0.10685372240927797,0.0020689655172413794,0.14296725107509098,0.13759526938239158,0.05,0.24436884842519685,4.901960784313725e-05,0.17966845229477343,0.06613222486144102,0.00022123893805309737,0.4775144508670521,0.6799769352746143,0.00014492753623188405,0.2524660343501666,0.09469714285714285,0.0,0.0,0.34340057636887605,0.00019179541822056474,0.23746798843453118,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-15 02:00:00,0.01819548872180451,0.0,0.14116161616161615,0.008275862068965517,0.1196427390009924,0.1348226018396846,0.05,0.26042199803149607,0.00044117647058823526,0.14900825249746635,0.06656373713380839,0.00022123893805309737,0.48089788053949906,0.6799769352746143,0.001084272678475577,0.24799282235324274,0.09481142857142856,0.0,0.0,0.34360230547550435,0.0002610548748002131,0.2343577034283354,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-15 03:00:00,0.01932330827067669,0.0,0.1837186681631126,0.018620689655172416,0.10214356599404564,0.13955321944809462,0.05,0.27354699803149607,0.0030882352941176473,0.12195743448675257,0.07024940617577197,0.00011061946902654868,0.4877032755298651,0.6798327807409543,0.011186258722490607,0.23004357856959753,0.09507428571428571,0.0,0.0,0.3564553314121037,0.0025039957378795953,0.22181743081371333,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-15 04:00:00,0.020827067669172934,0.0,0.303658810325477,0.03103448275862069,0.09204432682765465,0.14349540078843628,0.055,0.3566732283464567,0.010686274509803922,0.11499203706384827,0.07676563737133808,0.00011061946902654868,0.4715067437379576,0.6799769352746143,0.0408695652173913,0.20157651884132274,0.09636571428571428,0.0,0.0,0.40121037463976944,0.010953649440596696,0.2104337050805452,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-15 05:00:00,0.022706766917293234,0.0,0.4067508417508417,0.043448275862068966,0.10845186900430037,0.14600525624178712,0.05,0.4095004921259843,0.02715686274509804,0.10240335891124945,0.08882422802850357,0.00022123893805309737,0.49441618497109824,0.6801210898082745,0.09351583467525497,0.179728274801333,0.10058285714285715,0.0,0.0,0.5471181556195965,0.028668087373468303,0.20434944237918215,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-15 06:00:00,0.023458646616541356,0.0,0.4337074448185559,0.06275862068965518,0.13180946080052927,0.14114323258869907,0.05,0.4437807578740158,0.05852941176470588,0.09331982047198494,0.1059699129057799,0.000331858407079646,0.49985741811175344,0.6798327807409543,0.14735909822866344,0.16750320430658805,0.11082285714285714,0.0,0.00015748031496062994,0.5551873198847262,0.05609483217900906,0.19555968608013216,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-15 07:00:00,0.023834586466165413,0.0,0.41746165357276466,0.08206896551724138,0.14348660271253721,0.1478449408672799,0.045,0.43817913385826773,0.09455882352941176,0.09120167945562473,0.1238202692003167,0.00044247787610619474,0.5028208092485549,0.6799769352746143,0.19871712292002147,0.18211227890284543,0.12042285714285715,0.0,0.00015748031496062994,0.5521325648414985,0.08976558337773043,0.20257331681123503,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-15 08:00:00,0.023834586466165413,0.0,0.36728582117471004,0.09965517241379311,0.17231227257691034,0.1395663600525624,0.045,0.41811761811023623,0.13259803921568628,0.08393658607210076,0.1321377672209026,0.0007743362831858407,0.5099190751445086,0.6802652443419346,0.2377992485238862,0.20164060497308384,0.12902857142857144,0.0,0.0003149606299212599,0.5522766570605186,0.11848161960575386,0.22211895910780668,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-15 09:00:00,0.025338345864661656,0.0,0.22163673774784884,0.08827586206896552,0.14997684419450877,0.14337713534822602,0.045,0.3659657972440945,0.16897058823529412,0.07640075285941798,0.13621931908155185,0.0005530973451327434,0.5007745664739884,0.6801210898082745,0.2751207729468599,0.21578313253012046,0.13558857142857142,0.0,0.00015748031496062994,0.5487031700288184,0.1527064464571124,0.24118546055349027,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-15 10:00:00,0.024962406015037592,0.0,0.1632996632996633,0.0910344827586207,0.13914654316903738,0.1411300919842313,0.045,0.30361343503937005,0.19323529411764706,0.0686332705950485,0.13558194774346793,0.0005530973451327434,0.48474373795761083,0.6799769352746143,0.27070853462157807,0.2248244039989746,0.13741714285714285,0.0,0.00015748031496062994,0.3837175792507205,0.18125199786893978,0.26460140437835605,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-15 11:00:00,0.024210526315789474,0.0,0.14528245417134306,0.09517241379310344,0.12972874627853126,0.14324572930354798,0.045,0.2882775590551181,0.19857843137254902,0.06621543361806863,0.13458828186856692,0.0005530973451327434,0.5372215799614644,0.6801210898082745,0.24595813204508857,0.22367085362727504,0.13780571428571428,0.0,0.0003149606299212599,0.35023054755043226,0.20953116675546085,0.2772366790582404,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-15 12:00:00,0.02308270676691729,0.0,0.18504489337822672,0.08689655172413793,0.10569963612305655,0.15467805519053876,0.045,0.30071850393700783,0.19857843137254902,0.07104965976545534,0.13288202692003168,0.00044247787610619474,0.5127745664739884,0.6799769352746143,0.23264626945786368,0.22420917713406818,0.1359542857142857,0.0,0.0003149606299212599,0.35086455331412103,0.22066595631326585,0.27786451879388685,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-15 13:00:00,0.02157894736842105,0.0,0.2246707818930041,0.07551724137931035,0.07747601720145551,0.15480946123521683,0.045,0.3325615157480315,0.18073529411764705,0.08522223830896192,0.13077988915281077,0.00044247787610619474,0.5179113680154143,0.6798327807409543,0.19047772410091252,0.21575749807741604,0.136,0.0,0.00015748031496062994,0.3523342939481268,0.20212040490143846,0.2837587773647253,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-15 14:00:00,0.020827067669172934,0.0,0.4114721286943509,0.06206896551724138,0.06176976513397287,0.15415243101182655,0.045,0.39197096456692915,0.1455392156862745,0.08065151295786882,0.11949326999208233,0.00044247787610619474,0.5299845857418112,0.6798327807409543,0.147638217928073,0.19273775954883363,0.13014857142857142,0.0,0.00015748031496062994,0.3626801152737752,0.1625253063399041,0.27668731928954976,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-15 15:00:00,0.02120300751879699,0.0,0.4620594837261504,0.05137931034482759,0.049622891167714185,0.15375821287779237,0.045,0.459933562992126,0.10073529411764706,0.08656290719559867,0.10758115597783056,0.000331858407079646,0.5373140655105972,0.6796886262072942,0.10923778851315083,0.17657523711868753,0.12350857142857143,0.0,0.00015748031496062994,0.4800576368876081,0.12128929142248268,0.2349814126394052,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
